Food,Ratio,DietID,replicate,flyID,lifespan,totaleaten,watertotal,dietremaining,waterremaining,eggs,trial
180 mg/mL,1:16,9,A,9A,8,37.76952645,60.26545285,23.1,19,0,I
180 mg/mL,1:16,9,A,9A,12,53.21993032,100,20.4,0,0,I
180 mg/mL,1:16,9,A,9A,16,14.70520562,82.48083642,26.5,13.3,0,I
180 mg/mL,1:16,9,A,9A,20,53.21993032,70.85807943,20.4,16.6,0,I
180 mg/mL,1:16,9,A,9A,24,64.90415756,100,18,0,0,I
180 mg/mL,1:16,9,A,9A,28,36.52551372,43.7820946,23.3,22.1,0,I
180 mg/mL,1:16,9,A,9A,32,70.04563546,100,16.8,0,0,I
180 mg/mL,1:16,9,A,9A,36,55.29924381,46.65965594,20,21.6,0,I
180 mg/mL,1:16,9,A,9A,40,71.65793595,131.4099484,16.4,0,0,I
180 mg/mL,1:16,9,A,9A,44,60.74397673,131.6291808,18.9,3.6,0,I
180 mg/mL,1:16,9,A,9A,48,64.00237016,100,18.2,0,0,I
180 mg/mL,1:16,9,A,9A,52,80.93168216,78.97430879,13.8,14.4,0,I
180 mg/mL,1:16,9,A,9A,56,44.94336203,102.3895745,21.9,11.7,0,I
180 mg/mL,1:16,9,A,9A,60,58.81020965,100,19.3,0,0,I
180 mg/mL,1:16,9,A,9A,64,50.0005185,100,21,0,0,I
180 mg/mL,1:16,9,A,9A,68,54.78441565,63.08764775,20.1,18.4,0,I
180 mg/mL,1:16,9,A,9A,72,58.31855448,115.20335,19.4,1,4,I
180 mg/mL,1:16,9,A,9A,76,50.0005185,38.38632527,21,23,1,I
180 mg/mL,1:16,9,A,9A,80,61.21923053,90.25853515,18.8,10.3,5,I
180 mg/mL,1:16,9,A,9A,84,59.29857439,49.45216987,19.2,21.1,4,I
180 mg/mL,1:16,9,A,9A,88,57.82360386,66.66909657,19.5,17.6,3,I
180 mg/mL,1:16,9,A,9A,92,60.74397673,100,18.9,0,6,I
180 mg/mL,1:16,9,A,9A,96,54.78441565,95.39678508,20.1,6.8,5,I
180 mg/mL,1:16,9,A,9A,100,53.74476379,100,20.3,0,0,I
180 mg/mL,1:16,9,A,9A,104,54.78441565,68.80327034,20.1,17.1,0,I
180 mg/mL,1:16,9,A,9A,112,57.32535276,107.5702899,19.6,2.7,0,I
180 mg/mL,1:16,9,A,9A,114,4.791252608,13.21995798,27.8,26.7,3,I
180 mg/mL,1:08,10,A,10A,4,78.97430879,93.38650377,14.4,8.6,0,I
180 mg/mL,1:08,10,A,10A,8,57.82360386,30.09600373,19.5,24.3,0,I
180 mg/mL,1:08,10,A,10A,12,49.45216987,100,21.1,0,0,I
180 mg/mL,1:08,10,A,10A,16,71.25957831,92.10319249,16.5,9.4,0,I
180 mg/mL,1:08,10,A,10A,20,61.69121937,81.56023706,18.7,13.6,0,I
180 mg/mL,1:08,10,A,10A,24,87.94913819,100,11.3,0,0,I
180 mg/mL,1:08,10,A,10A,28,77.26025071,87.45379899,14.9,11.5,0,I
180 mg/mL,1:08,10,A,10A,32,76.90831998,100,15,0,56,I
180 mg/mL,1:08,10,A,10A,36,86.94716829,100,11.7,0,2,I
180 mg/mL,1:08,10,A,10A,40,60.26545285,100,19,0,40,I
180 mg/mL,1:08,10,A,10A,44,51.62534139,118.7012086,20.7,13.8,17,I
180 mg/mL,1:08,10,A,10A,48,78.29778024,100,14.6,0,9,I
180 mg/mL,1:08,10,A,10A,52,50.0005185,97.13575135,21,5,4,I
180 mg/mL,1:08,10,A,10A,56,48.90044281,61.21923053,21.2,18.8,12,I
180 mg/mL,1:04,11,A,11A,4,90.04001815,70.85807943,10.4,16.6,0,I
180 mg/mL,1:04,11,A,11A,8,45.51886968,60.74397673,21.8,18.9,0,I
180 mg/mL,1:04,11,A,11A,12,81.56023706,93.2674714,13.6,8.7,0,I
180 mg/mL,1:04,11,A,11A,16,85.63081384,75.1027386,12.2,15.5,0,I
180 mg/mL,1:04,11,A,11A,20,75.83418062,35.2675847,15.3,23.5,0,I
180 mg/mL,1:04,11,A,11A,24,82.78180008,43.1963256,13.2,22.2,0,I
180 mg/mL,1:04,11,A,11A,28,82.17692572,17.63236339,13.4,26.1,14,I
180 mg/mL,1:04,11,A,11A,32,87.45379899,26.0694902,11.5,24.9,35,I
180 mg/mL,1:04,11,A,11A,36,80.61293879,40.81890775,13.9,22.6,21,I
180 mg/mL,1:04,11,A,11A,40,78.6375562,94.31144486,14.5,7.8,13,I
180 mg/mL,1:04,11,A,11A,44,84.52606488,92.48365248,12.6,9.2,2,I
180 mg/mL,1:04,11,A,11A,48,59.78365377,48.90044281,19.1,21.2,0,I
180 mg/mL,1:02,12,A,12A,4,84.24264413,85.63081384,12.7,12.2,0,I
180 mg/mL,1:02,12,A,12A,8,55.29924381,4.003090717,20,27.9,0,I
180 mg/mL,1:02,12,A,12A,12,98.56137893,78.29778024,3.2,14.6,72,I
180 mg/mL,1:02,12,A,12A,16,107.4691778,96.30235976,8.5,5.9,0,I
180 mg/mL,1:02,12,A,12A,20,93.38650377,100,8.6,0,25,I
180 mg/mL,1:02,12,A,12A,24,84.52606488,100,12.6,0,14,I
180 mg/mL,1:02,12,A,12A,28,94.42358369,66.66909657,7.7,17.6,51,I
180 mg/mL,1:02,12,A,12A,32,86.68960056,30.75473522,11.8,24.2,1,I
180 mg/mL,1:01,13,A,13A,4,50.0005185,72.83421799,21,16.1,0,I
180 mg/mL,1:01,13,A,13A,8,40.81890775,70.04563546,22.6,16.8,0,I
180 mg/mL,1:01,13,A,13A,12,75.1027386,33.35452105,15.5,23.8,0,I
180 mg/mL,1:01,13,A,13A,16,57.82360386,124.2004089,19.5,5.4,0,I
180 mg/mL,1:00,14,A,14A,3,36.52551372,65.79305217,23.3,17.8,0,I
90 mg/mL,0:01,15,A,15A,4,74.73239507,97.89124808,15.6,4.1,0,I
90 mg/mL,0:01,15,A,15A,8,50.54549345,46.65965594,20.9,21.6,0,I
90 mg/mL,0:01,15,A,15A,12,70.45343368,100,16.7,0,0,I
90 mg/mL,0:01,15,A,15A,16,48.90044281,16.90598102,21.2,26.2,0,I
90 mg/mL,1:16,16,A,16A,4,67.95916299,100,17.3,0,0,I
90 mg/mL,1:16,16,A,16A,8,40.21594509,74.35896202,22.7,15.7,0,I
90 mg/mL,1:16,16,A,16A,12,89.13847159,14.70520562,10.8,26.5,0,I
90 mg/mL,1:16,16,A,16A,16,86.94716829,24.69897905,11.7,25.1,0,I
90 mg/mL,1:16,16,A,16A,20,62.6254228,50.0005185,18.5,21,0,I
90 mg/mL,1:16,16,A,16A,24,54.78441565,71.25957831,20.1,16.5,0,I
90 mg/mL,1:16,16,A,16A,28,62.1599484,24.00839073,18.6,25.2,0,I
90 mg/mL,1:08,17,A,17A,4,99.35639886,76.5533354,1.9,15.1,0,I
90 mg/mL,1:08,17,A,17A,8,90.25853515,21.91524459,10.3,25.5,0,I
90 mg/mL,1:08,17,A,17A,12,88.4332444,97.64848648,11.1,4.4,0,I
90 mg/mL,1:08,17,A,17A,16,97.73043917,105.1843031,4.3,13.5,0,I
90 mg/mL,1:08,17,A,17A,20,93.02717477,48.3453326,8.9,21.3,0,I
90 mg/mL,1:08,17,A,17A,24,128.2050863,66.66909657,10.5,17.6,0,I
90 mg/mL,1:08,17,A,17A,28,96.77460008,78.97430879,5.4,14.4,0,I
90 mg/mL,1:08,17,A,17A,32,99.09798352,65.79305217,14.3,17.8,0,I
90 mg/mL,1:08,17,A,17A,36,91.31029427,85.35895296,9.8,12.3,0,I
90 mg/mL,1:08,17,A,17A,40,92.10319249,100,9.4,0,0,I
90 mg/mL,1:08,17,A,17A,44,92.29474795,60.26545285,9.3,19,6,I
90 mg/mL,1:08,17,A,17A,47,39.60953012,68.80327034,22.8,17.1,11,I
90 mg/mL,1:04,18,A,18A,4,100,11.72022149,0,26.9,0,I
90 mg/mL,1:04,18,A,18A,8,195.9085008,64.00237016,0,18.2,0,I
90 mg/mL,1:04,18,A,18A,12,90.68738017,94.31144486,10.1,7.8,0,I
90 mg/mL,1:04,18,A,18A,16,106.0656078,24.69897905,11.1,25.1,0,I
90 mg/mL,1:04,18,A,18A,20,80.64149718,75.46999848,20.9,15.4,0,I
90 mg/mL,1:04,18,A,18A,24,129.2163929,64.90415756,11.6,18,3,I
90 mg/mL,1:04,18,A,18A,28,99.76094381,100,1,0,131,I
90 mg/mL,1:04,18,A,18A,32,147.5383611,27.42580878,2.2,24.7,16,I
90 mg/mL,1:04,18,A,18A,36,120.5068398,38.99965834,6.4,22.9,9,I
90 mg/mL,1:04,18,A,18A,40,100,113.219958,0,0,61,I
90 mg/mL,1:04,18,A,18A,44,128.2806337,98.95575146,11,2.6,1,I
90 mg/mL,1:04,18,A,18A,48,108.2569385,74.35896202,15.2,15.7,3,I
90 mg/mL,1:04,18,A,18A,52,54.78441565,100,20.1,0,198,I
90 mg/mL,1:02,19,A,19A,4,99.68327914,20.50195455,1.2,25.7,0,I
90 mg/mL,1:02,19,A,19A,8,135.2675847,86.94716829,0,11.7,0,I
90 mg/mL,1:02,19,A,19A,12,74.35896202,100,15.7,0,31,I
90 mg/mL,1:01,20,A,20A,4,93.38650377,100,8.6,0,0,I
90 mg/mL,1:01,20,A,20A,8,93.50478693,97.04688213,8.5,5.1,0,I
90 mg/mL,1:00,21,A,21A,4,83.07982327,100,13.1,0,0,I
45 mg/mL,0:01,22,A,22A,4,75.83418062,87.94913819,15.3,11.3,0,I
45 mg/mL,0:01,22,A,22A,8,72.44525011,83.66707474,16.2,12.9,0,I
45 mg/mL,0:01,22,A,22A,10,42.01449416,15.44240619,22.4,26.4,0,I
45 mg/mL,1:16,23,A,23A,4,91.71209525,92.66991456,9.6,9.1,0,I
45 mg/mL,1:16,23,A,23A,8,54.78441565,71.65793595,20.1,16.4,0,I
45 mg/mL,1:16,23,A,23A,12,72.83421799,100,16.1,0,0,I
45 mg/mL,1:16,23,A,23A,16,92.48365248,78.29778024,9.2,14.6,0,I
45 mg/mL,1:16,23,A,23A,20,93.14769377,30.75473522,8.8,24.2,0,I
45 mg/mL,1:16,23,A,23A,24,107.6052393,58.31855448,15.2,19.4,0,I
45 mg/mL,1:16,23,A,23A,28,88.6711036,29.43374962,11,24.4,0,I
45 mg/mL,1:16,23,A,23A,32,86.42918834,85.89980203,11.9,12.1,0,I
45 mg/mL,1:16,23,A,23A,36,79.63876864,80.93168216,14.2,13.8,0,I
45 mg/mL,1:16,23,A,23A,40,79.96648836,69.22055933,14.1,17,0,I
45 mg/mL,1:08,24,A,24A,4,78.6375562,62.1599484,14.5,18.6,0,I
45 mg/mL,1:08,24,A,24A,8,87.70287639,60.26545285,11.4,19,0,I
45 mg/mL,1:08,24,A,24A,12,99.76094381,21.21038826,1,25.6,0,I
45 mg/mL,1:08,24,A,24A,16,128.2438463,19.07433845,10.2,25.9,0,I
45 mg/mL,1:08,24,A,24A,20,98.69773882,96.30235976,3,5.9,0,I
45 mg/mL,1:08,24,A,24A,22,20.50195455,24.00839073,25.7,25.2,0,I
45 mg/mL,1:04,25,A,25A,4,100,35.2675847,0,23.5,0,I
45 mg/mL,1:04,25,A,25A,8,144.943362,73.9824336,0,15.8,0,I
45 mg/mL,1:04,25,A,25A,12,167.5323337,100,0,0,0,I
45 mg/mL,1:04,25,A,25A,16,164.3085343,94.42358369,8.2,7.7,0,I
45 mg/mL,1:04,25,A,25A,20,152.1602239,88.19259174,0,11.2,0,I
45 mg/mL,1:04,25,A,25A,24,154.9173931,100,6.1,0,3,I
45 mg/mL,1:04,25,A,25A,27,85.08421244,40.21594509,12.4,22.7,3,I
45 mg/mL,1:02,26,A,26A,4,100,85.08421244,0,12.4,0,I
45 mg/mL,1:02,26,A,26A,8,182.6997629,45.51886968,13.2,21.8,0,I
45 mg/mL,1:01,27,A,27A,4,100,100,0,0,0,I
45 mg/mL,1:01,27,A,27A,8,100,83.07982327,0,13.1,0,I
45 mg/mL,1:01,27,A,27A,12,200,100,0,0,0,I
45 mg/mL,1:01,27,A,27A,16,200,121.721783,0,7.2,0,I
45 mg/mL,1:01,27,A,27A,17,7.13375936,24.00839073,27.5,25.2,1,I
45 mg/mL,1:00,28,A,28A,3,48.90044281,62.6254228,21.2,18.5,0,I
360 mg/mL,0:01,1,B,1B,4,32.06164751,62.1599484,24,18.6,0,I
360 mg/mL,0:01,1,B,1B,8,5.575748738,79.3080442,27.7,14.3,0,I
360 mg/mL,0:01,1,B,1B,12,40.81890775,100,22.6,0,0,I
360 mg/mL,1:16,2,B,2B,4,28.76796861,68.38280672,24.5,17.2,0,I
360 mg/mL,1:16,2,B,2B,8,35.89829095,53.21993032,23.4,20.4,0,I
360 mg/mL,1:16,2,B,2B,12,53.21993032,100,20.4,0,0,I
360 mg/mL,1:16,2,B,2B,16,46.0909661,93.2674714,21.7,8.7,0,I
360 mg/mL,1:16,2,B,2B,20,52.69175198,42.60712698,20.5,22.3,0,I
360 mg/mL,1:16,2,B,2B,24,43.7820946,69.63467919,22.1,16.9,0,I
360 mg/mL,1:16,2,B,2B,28,51.62534139,47.78683452,20.7,21.4,0,I
360 mg/mL,1:16,2,B,2B,32,31.40994837,57.32535276,24.1,19.6,0,I
360 mg/mL,1:16,2,B,2B,36,40.81890775,14.70520562,22.6,26.5,0,I
360 mg/mL,1:16,2,B,2B,40,38.99965834,74.73239507,22.9,15.6,0,I
360 mg/mL,1:16,2,B,2B,44,49.45216987,93.50478693,21.1,8.5,0,I
360 mg/mL,1:16,2,B,2B,48,62.1599484,100,18.6,0,0,I
360 mg/mL,1:16,2,B,2B,52,39.60953012,97.39656347,22.8,4.7,0,I
360 mg/mL,1:08,3,B,3B,4,52.16022395,64.4548781,20.6,18.1,0,I
360 mg/mL,1:08,3,B,3B,8,46.0909661,58.81020965,21.7,19.3,0,I
360 mg/mL,1:08,3,B,3B,12,47.22494386,94.97236151,21.5,7.2,0,I
360 mg/mL,1:08,3,B,3B,16,38.99965834,66.23267797,22.9,17.7,0,I
360 mg/mL,1:08,3,B,3B,20,52.16022395,18.35514784,20.6,26,55,I
360 mg/mL,1:08,3,B,3B,24,54.78441565,40.81890775,20.1,22.6,0,I
360 mg/mL,1:08,3,B,3B,28,61.21923053,91.90897771,18.8,9.5,7,I
360 mg/mL,1:08,3,B,3B,32,52.16022395,26.0694902,20.6,24.9,23,I
360 mg/mL,1:08,3,B,3B,36,60.26545285,69.63467919,19,16.9,1,I
360 mg/mL,1:08,3,B,3B,40,62.6254228,79.3080442,18.5,14.3,16,I
360 mg/mL,1:08,3,B,3B,44,53.21993032,49.45216987,20.4,21.1,6,I
360 mg/mL,1:08,3,B,3B,48,54.78441565,80.29120964,20.1,14,33,I
360 mg/mL,1:08,3,B,3B,52,54.26625728,30.09600373,20.2,24.3,15,I
360 mg/mL,1:08,3,B,3B,56,90.04001815,37.76952645,10.4,23.1,3,I
360 mg/mL,1:08,3,B,3B,59,37.76952645,38.99965834,23.1,22.9,0,I
360 mg/mL,1:04,4,B,4B,4,38.99965834,33.99570412,22.9,23.7,0,I
360 mg/mL,1:04,4,B,4B,8,32.06164751,47.22494386,24,21.5,0,I
360 mg/mL,1:04,4,B,4B,12,43.7820946,25.38601081,22.1,25,0,I
360 mg/mL,1:04,4,B,4B,16,55.81074666,42.60712698,19.9,22.3,0,I
360 mg/mL,1:04,4,B,4B,20,53.21993032,71.25957831,20.4,16.5,17,I
360 mg/mL,1:04,4,B,4B,24,54.78441565,98.20015436,20.1,3.7,39,I
360 mg/mL,1:04,4,B,4B,28,70.45343368,90.47431986,16.7,10.2,6,I
360 mg/mL,1:04,4,B,4B,32,157.0942548,93.62231686,4.8,8.4,29,I
360 mg/mL,1:04,4,B,4B,36,52.69175198,61.21923053,20.5,18.8,14,I
360 mg/mL,1:04,4,B,4B,40,60.74397673,90.68738017,18.9,10.1,85,I
360 mg/mL,1:04,4,B,4B,44,59.78365377,81.24744611,19.1,13.7,102,I
360 mg/mL,1:04,4,B,4B,48,63.08764775,60.26545285,18.4,19,0,I
360 mg/mL,1:02,5,B,5B,4,22.61652767,54.26625728,25.4,20.2,0,I
360 mg/mL,1:02,5,B,5B,8,35.89829095,57.82360386,23.4,19.5,0,I
360 mg/mL,1:02,5,B,5B,12,47.78683452,32.06164751,21.4,24,12,I
360 mg/mL,1:02,5,B,5B,16,56.31892913,93.62231686,19.8,8.4,0,I
360 mg/mL,1:02,5,B,5B,20,51.08709948,78.97430879,20.8,14.4,8,I
360 mg/mL,1:02,5,B,5B,24,40.21594509,32.06164751,22.7,24,17,I
360 mg/mL,1:02,5,B,5B,28,54.26625728,96.00827718,20.2,6.2,20,I
360 mg/mL,1:02,5,B,5B,32,41.4184226,50.0005185,22.5,21,5,I
360 mg/mL,1:02,5,B,5B,36,56.31892913,100,19.8,0,15,I
360 mg/mL,1:02,5,B,5B,40,50.54549345,76.90831998,20.9,15,0,I
360 mg/mL,1:02,5,B,5B,44,42.60712698,93.62231686,22.3,8.4,3,I
360 mg/mL,1:02,5,B,5B,48,43.1963256,89.81876104,22.2,10.5,0,I
360 mg/mL,1:02,5,B,5B,50,20.50195455,52.16022395,25.7,20.6,0,I
360 mg/mL,1:01,6,B,6B,4,40.81890775,97.81136341,22.6,4.2,0,I
360 mg/mL,1:00,7,B,7B,3,-6.578358473,80.61293879,29.2,13.9,0,I
180 mg/mL,0:01,8,B,8B,4,43.7820946,69.22055933,22.1,17,0,I
180 mg/mL,0:01,8,B,8B,8,42.01449416,64.00237016,22.4,18.2,0,I
180 mg/mL,0:01,8,B,8B,12,60.74397673,100,18.9,0,0,I
180 mg/mL,0:01,8,B,8B,16,57.82360386,115.6642463,19.5,10.6,0,I
180 mg/mL,0:01,8,B,8B,20,55.81074666,58.81020965,19.9,19.3,0,I
180 mg/mL,0:01,8,B,8B,24,50.0005185,38.99965834,21,22.9,0,I
180 mg/mL,0:01,8,B,8B,28,21.91524459,51.08709948,25.5,20.8,0,I
180 mg/mL,0:01,8,B,8B,32,26.0694902,48.90044281,24.9,21.2,1,I
180 mg/mL,0:01,8,B,8B,35,35.89829095,76.90831998,23.4,15,0,I
180 mg/mL,1:16,9,B,9B,4,61.69121937,68.80327034,18.7,17.1,0,I
180 mg/mL,1:16,9,B,9B,8,36.52551372,64.90415756,23.3,18,0,I
180 mg/mL,1:16,9,B,9B,12,64.90415756,93.14769377,18,8.8,0,I
180 mg/mL,1:16,9,B,9B,16,77.26025071,93.2674714,14.9,8.7,0,I
180 mg/mL,1:16,9,B,9B,20,76.90831998,99.40791307,15,1.8,0,I
180 mg/mL,1:16,9,B,9B,24,173.9824336,45.51886968,0,21.8,0,I
180 mg/mL,1:16,9,B,9B,28,35.2675847,100,23.5,0,0,I
180 mg/mL,1:16,9,B,9B,32,68.80327034,88.6711036,17.1,11,0,I
180 mg/mL,1:16,9,B,9B,36,85.63081384,47.22494386,12.2,21.5,0,I
180 mg/mL,1:16,9,B,9B,40,53.21993032,74.73239507,20.4,15.6,0,I
180 mg/mL,1:16,9,B,9B,44,69.63467919,80.61293879,16.9,13.9,0,I
180 mg/mL,1:16,9,B,9B,48,65.79305217,91.31029427,17.8,9.8,0,I
180 mg/mL,1:16,9,B,9B,52,49.45216987,77.95497475,21.1,14.7,0,I
180 mg/mL,1:16,9,B,9B,56,55.81074666,52.16022395,19.9,20.6,0,I
180 mg/mL,1:16,9,B,9B,60,51.62534139,98.69773882,20.7,3,0,I
180 mg/mL,1:16,9,B,9B,64,27.42580878,70.85807943,24.7,16.6,0,I
180 mg/mL,1:16,9,B,9B,68,70.45343368,46.0909661,16.7,21.7,0,I
180 mg/mL,1:16,9,B,9B,72,59.78365377,53.74476379,19.1,20.3,0,I
180 mg/mL,1:16,9,B,9B,76,55.81074666,64.4548781,19.9,18.1,0,I
180 mg/mL,1:16,9,B,9B,80,72.05315799,90.25853515,16.3,10.3,0,I
180 mg/mL,1:16,9,B,9B,84,69.63467919,65.79305217,16.9,17.8,0,I
180 mg/mL,1:16,9,B,9B,88,68.38280672,44.36443854,17.2,22,0,I
180 mg/mL,1:16,9,B,9B,92,64.00237016,95.07969945,18.2,7.1,0,I
180 mg/mL,1:16,9,B,9B,96,59.78365377,100,19.1,0,0,I
180 mg/mL,1:16,9,B,9B,100,48.3453326,89.13847159,21.3,10.8,0,I
180 mg/mL,1:16,9,B,9B,104,37.76952645,58.31855448,23.1,19.4,0,I
180 mg/mL,1:16,9,B,9B,112,76.90831998,106.0268953,15,2.7,0,I
180 mg/mL,1:16,9,B,9B,116,41.4184226,77.95497475,22.5,14.7,9,I
180 mg/mL,1:16,9,B,9B,120,43.1963256,45.51886968,22.2,21.8,0,I
180 mg/mL,1:16,9,B,9B,124,40.21594509,75.1027386,22.7,15.5,0,I
180 mg/mL,1:16,9,B,9B,128,57.32535276,55.29924381,19.6,20,3,I
180 mg/mL,1:16,9,B,9B,131,29.43374962,27.42580878,24.4,24.7,0,I
180 mg/mL,1:08,10,B,10B,4,75.1027386,59.29857439,15.5,19.2,0,I
180 mg/mL,1:08,10,B,10B,8,34.63339055,21.21038826,23.6,25.6,0,I
180 mg/mL,1:08,10,B,10B,12,73.9824336,73.9824336,15.8,15.8,0,I
180 mg/mL,1:08,10,B,10B,16,79.3080442,61.21923053,14.3,18.8,0,I
180 mg/mL,1:08,10,B,10B,20,64.00237016,52.16022395,18.2,20.6,0,I
180 mg/mL,1:08,10,B,10B,22,36.52551372,55.29924381,23.3,20,0,I
180 mg/mL,1:04,11,B,11B,4,90.04001815,74.73239507,10.4,15.6,0,I
180 mg/mL,1:04,11,B,11B,8,55.29924381,18.35514784,20,26,0,I
180 mg/mL,1:04,11,B,11B,12,64.4548781,91.31029427,18.1,9.8,4,I
180 mg/mL,1:04,11,B,11B,16,79.3080442,90.68738017,14.3,10.1,10,I
180 mg/mL,1:04,11,B,11B,20,58.31855448,61.21923053,19.4,18.8,46,I
180 mg/mL,1:04,11,B,11B,24,80.93168216,100,13.8,0,0,I
180 mg/mL,1:04,11,B,11B,28,76.5533354,90.897724,15.1,10,11,I
180 mg/mL,1:04,11,B,11B,32,84.24264413,64.00237016,12.7,18.2,1,I
180 mg/mL,1:04,11,B,11B,36,82.78180008,100,13.2,0,0,I
180 mg/mL,1:04,11,B,11B,40,79.3080442,100,14.3,0,3,I
180 mg/mL,1:04,11,B,11B,44,75.83418062,88.16555933,15.3,16.5,9,I
180 mg/mL,1:04,11,B,11B,48,71.65793595,112.0549728,16.4,12.8,9,I
180 mg/mL,1:02,12,B,12B,4,64.4548781,63.54662846,18.1,18.3,0,I
180 mg/mL,1:02,12,B,12B,8,58.81020965,84.24264413,19.3,12.7,0,I
